Unit_Number,Lease_or_Own,Status,Utilimarc_Class,Utilimarc_Category,Company_Code_Detail,Class_Code,Description,Unit_Make,Unit_Model,Unit_Year,Age,Unit_In_Service_Date,Unit_Disposal_Date,Unit_GVWR, Purchase_Price_Without_Tax ,Purchase_Price_With_Tax,Depreciated_Value,Lease_Cost,Interest_Cost,Depreciation_Cost,License_Cost,Mechanic_Labor_Cost,Vendor_Cost,Parts_Cost,Fuel_Cost,Other,Overhead_Cost,Total_Cost,Mechanic_Labor_Hours,Annual_Mileage,MRH,Fuel_Gallons,Fuel_Type,Drive_Type,Inservice_Over_Year,Take_home_vehicle,Total_Demand_Repair_Workorders,Total_Preventive_Maintenance_Workorders,Life to date mileage
28341,2,1,8,Vehicle,842,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2008,11,3/20/2008,,9200,23135,23135,0,0,0,0,266.7,461.53,0,874.79,1053.46,324.86,845.44,3826.79,300,5483,19.38364667,450.955,,4,1,0,1,2,86296
26290,2,1,8,Vehicle,615,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2006,13,4/14/2006,,9200,20918,20918,0,0,0,0,266.7,369.22,0,257.5,1092.4,324.86,845.44,3156.13,240,4807,19.38364667,437,,4,1,0,4,1,68473
25232,2,1,8,Vehicle,841,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2005,14,7/20/2005,,9200,24001,24001,0,0,0,0,266.7,553.84,0,80.16,764.14,324.86,845.44,2835.14,360,#N/A,19.38364667,345.76,,4,1,0,2,1,71184
25172,2,1,8,Vehicle,632,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2005,14,7/8/2005,,9200,21226.73,21226.73,0,0,0,0,266.7,1061.52,0,88.25,715.6,324.86,845.44,3302.38,690,2052,19.38364667,321.9,,4,1,0,2,2,89740
98237,2,1,9,Vehicle,779,61600,PICKUP 4X4 REG CAB,GM/Chevey,3500,1998,21,8/4/1998,,9200,0,0,0,0,0,0,266.7,276.92,0,43.35,1052.42,464.19,1208.05,3311.62,180,4342,27.69704598,307.606,,4,1,0,3,1,80986
21254,2,2,8,Vehicle,276,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2001,18,3/16/2001,5/31/2018,9200,22720,22720,0,0,0,0,266.7,876.91,0,4.64,596.75,0,0,1745.01,570,2350,19.38364667,267.26,,4,0,0,5,1,119168
29209,2,1,8,Vehicle,216,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2009,10,9/22/2009,,9200,22933,22933,0,0,0,0,266.7,507.68,0,105.48,339.2,324.86,845.44,2389.37,330,1332,19.38364667,146.82,,4,1,0,4,0,333
21251,2,1,8,Vehicle,73,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2001,18,3/16/2001,,9200,22720,22720,0,0,0,0,266.7,3738.4,0,754.44,323.79,324.86,845.44,6253.63,2430,944,19.38364667,143.96,,4,1,0,9,1,70106
22307,2,2,8,Vehicle,161,61600,PICKUP 4X4 REG CAB,GM/Chevey,2500HD,2002,17,5/21/2002,5/31/2018,9200,22720,22720,0,0,0,0,266.7,184.61,0,0,9.39,0,0,460.7,120,148,19.38364667,4.01,,4,0,0,1,0,149236
23357,2,1,14.1,Vehicle,73,63600,SERVICE BODY 4X2 REG CAB,GM/Chevey,2500HD,2003,16,6/26/2003,,9200,20337,20337,0,0,0,0,266.7,230.77,0,2.54,340.43,574.55,1495.27,2910.26,150,394,34.28225684,153,,2,1,0,3,1,20123
